,DisGENet_id,Disease_name,Disease_type,Disease_class,Disease_class_name
14966,C0265338,Coffin-Siris syndrome,disease,F01,   Behavior and Behavior Mechanisms
15077,C2829267,"DEAFNESS, AUTOSOMAL RECESSIVE 88",disease,,
15176,C3809971,ASPARAGINE SYNTHETASE DEFICIENCY,disease,,
15258,C3810384,NEMALINE MYOPATHY 9,disease,,
15584,C0220711,Long chain acyl-CoA dehydrogenase deficiency,disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
15585,C0220711,Long chain acyl-CoA dehydrogenase deficiency,disease,C18,   Nutritional and Metabolic Diseases
15951,C4015360,NEMALINE MYOPATHY 10,disease,,
16187,C4225391,MITOCHONDRIAL SHORT-CHAIN ENOYL-CoA HYDRATASE 1 DEFICIENCY,disease,,
17492,C4225157,FAMILIAL ADENOMATOUS POLYPOSIS 3,disease,,
17519,C0026650,Movement Disorders,group,C10,   Nervous System Diseases
17666,C4225297,ACHROMATOPSIA 7,disease,,
17863,C4310775,"DEAFNESS, AUTOSOMAL DOMINANT 70",disease,,
17867,C4283893,"DEAFNESS, AUTOSOMAL DOMINANT 66",disease,,
18283,C1867439,"Pterygium, Antecubital",disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
18284,C1867439,"Pterygium, Antecubital",disease,C05,   Musculoskeletal Diseases
18705,C0268531,Hydroxyprolinemia,phenotype,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
18706,C0268531,Hydroxyprolinemia,phenotype,C18,   Nutritional and Metabolic Diseases
19390,C4310657,CONE-ROD DYSTROPHY AND HEARING LOSS,disease,,
19635,C4310645,"MYOPATHY, MYOFIBRILLAR, 8",disease,,
19688,C4310631,"EPIDERMOLYSIS BULLOSA SIMPLEX, GENERALIZED, WITH SCARRING AND HAIR LOSS",disease,,
20840,C0403554,"Renal Tubular Acidosis, Distal, with Progressive Nerve Deafness",disease,C23,"   Pathological Conditions, Signs and Symptoms"
20841,C0403554,"Renal Tubular Acidosis, Distal, with Progressive Nerve Deafness",disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
20842,C0403554,"Renal Tubular Acidosis, Distal, with Progressive Nerve Deafness",disease,C18,   Nutritional and Metabolic Diseases
20843,C0403554,"Renal Tubular Acidosis, Distal, with Progressive Nerve Deafness",disease,C13,   Female Urogenital Diseases and Pregnancy Complications
20844,C0403554,"Renal Tubular Acidosis, Distal, with Progressive Nerve Deafness",disease,C12,   Male Urogenital Diseases
20845,C0403554,"Renal Tubular Acidosis, Distal, with Progressive Nerve Deafness",disease,C10,   Nervous System Diseases
20846,C0403554,"Renal Tubular Acidosis, Distal, with Progressive Nerve Deafness",disease,C09,   Otorhinolaryngologic Diseases
20847,C4302514,Distal renal tubular acidosis co-occurrent with sensorineural deafness,phenotype,C23,"   Pathological Conditions, Signs and Symptoms"
20848,C4302514,Distal renal tubular acidosis co-occurrent with sensorineural deafness,phenotype,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
20849,C4302514,Distal renal tubular acidosis co-occurrent with sensorineural deafness,phenotype,C18,   Nutritional and Metabolic Diseases
20850,C4302514,Distal renal tubular acidosis co-occurrent with sensorineural deafness,phenotype,C13,   Female Urogenital Diseases and Pregnancy Complications
20851,C4302514,Distal renal tubular acidosis co-occurrent with sensorineural deafness,phenotype,C12,   Male Urogenital Diseases
20852,C4302514,Distal renal tubular acidosis co-occurrent with sensorineural deafness,phenotype,C10,   Nervous System Diseases
20853,C4302514,Distal renal tubular acidosis co-occurrent with sensorineural deafness,phenotype,C09,   Otorhinolaryngologic Diseases
20963,C4693498,LEBER CONGENITAL AMAUROSIS WITH EARLY-ONSET DEAFNESS,disease,,
24048,C0002736,Amyotrophic Lateral Sclerosis,disease,C18,   Nutritional and Metabolic Diseases
24049,C0002736,Amyotrophic Lateral Sclerosis,disease,C10,   Nervous System Diseases
24050,C0393554,Amyotrophic Lateral Sclerosis With Dementia,disease,C18,   Nutritional and Metabolic Diseases
24051,C0393554,Amyotrophic Lateral Sclerosis With Dementia,disease,C10,   Nervous System Diseases
24052,C0543859,"Amyotrophic Lateral Sclerosis, Guam Form",disease,C18,   Nutritional and Metabolic Diseases
24053,C0543859,"Amyotrophic Lateral Sclerosis, Guam Form",disease,C10,   Nervous System Diseases
24054,C0027051,Myocardial Infarction,disease,C23,"   Pathological Conditions, Signs and Symptoms"
24055,C0027051,Myocardial Infarction,disease,C14,   Cardiovascular Diseases
24056,C0043459,Zellweger Syndrome,disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
24057,C0043459,Zellweger Syndrome,disease,C06,   Digestive System Diseases
24058,C0043459,Zellweger Syndrome,disease,C18,   Nutritional and Metabolic Diseases
24059,C0043459,Zellweger Syndrome,disease,C13,   Female Urogenital Diseases and Pregnancy Complications
24060,C0043459,Zellweger Syndrome,disease,C12,   Male Urogenital Diseases
24061,C0043459,Zellweger Syndrome,disease,C10,   Nervous System Diseases
24062,C0751594,Zellweger-Like Syndrome,disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
24063,C0751594,Zellweger-Like Syndrome,disease,C06,   Digestive System Diseases
24064,C0751594,Zellweger-Like Syndrome,disease,C18,   Nutritional and Metabolic Diseases
24065,C0751594,Zellweger-Like Syndrome,disease,C13,   Female Urogenital Diseases and Pregnancy Complications
24066,C0751594,Zellweger-Like Syndrome,disease,C12,   Male Urogenital Diseases
24067,C0751594,Zellweger-Like Syndrome,disease,C10,   Nervous System Diseases
24068,C3658299,Zellweger Spectrum,disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
24069,C3658299,Zellweger Spectrum,disease,C06,   Digestive System Diseases
24070,C3658299,Zellweger Spectrum,disease,C18,   Nutritional and Metabolic Diseases
24071,C3658299,Zellweger Spectrum,disease,C13,   Female Urogenital Diseases and Pregnancy Complications
24072,C3658299,Zellweger Spectrum,disease,C12,   Male Urogenital Diseases
24073,C3658299,Zellweger Spectrum,disease,C10,   Nervous System Diseases
24074,C0005944,Metabolic Bone Disorder,group,C18,   Nutritional and Metabolic Diseases
24075,C0005944,Metabolic Bone Disorder,group,C05,   Musculoskeletal Diseases
24076,C0029453,Osteopenia,disease,C18,   Nutritional and Metabolic Diseases
24077,C0029453,Osteopenia,disease,C05,   Musculoskeletal Diseases
24078,C0042870,Vitamin D Deficiency,disease,C18,   Nutritional and Metabolic Diseases
24079,C0000772,Multiple congenital anomalies,group,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
24080,C0175707,Asplenia Syndrome,disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
24081,C0175707,Asplenia Syndrome,disease,C15,   Hemic and Lymphatic Diseases
24082,C0175707,Asplenia Syndrome,disease,C14,   Cardiovascular Diseases
24083,C0265357,Polysplenia Syndrome,disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
24084,C0265357,Polysplenia Syndrome,disease,C15,   Hemic and Lymphatic Diseases
24085,C0265357,Polysplenia Syndrome,disease,C14,   Cardiovascular Diseases
24086,C0266642,Situs ambiguus,disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
24087,C0266642,Situs ambiguus,disease,C15,   Hemic and Lymphatic Diseases
24088,C0266642,Situs ambiguus,disease,C14,   Cardiovascular Diseases
24089,C3178805,Heterotaxy Syndrome,disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
24090,C3178805,Heterotaxy Syndrome,disease,C15,   Hemic and Lymphatic Diseases
24091,C3178805,Heterotaxy Syndrome,disease,C14,   Cardiovascular Diseases
24092,C3178806,Right Atrial Isomerism,disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
24093,C3178806,Right Atrial Isomerism,disease,C15,   Hemic and Lymphatic Diseases
24094,C3178806,Right Atrial Isomerism,disease,C14,   Cardiovascular Diseases
24095,C3178807,Left Atrial Isomerism,disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
24096,C3178807,Left Atrial Isomerism,disease,C15,   Hemic and Lymphatic Diseases
24097,C3178807,Left Atrial Isomerism,disease,C14,   Cardiovascular Diseases
24098,C0040053,Thrombosis,phenotype,C14,   Cardiovascular Diseases
24099,C0087086,Thrombus,phenotype,C14,   Cardiovascular Diseases
24100,C0022333,Jacksonian Seizure,disease,C23,"   Pathological Conditions, Signs and Symptoms"
24101,C0022333,Jacksonian Seizure,disease,C10,   Nervous System Diseases
24102,C0036572,Seizures,phenotype,C23,"   Pathological Conditions, Signs and Symptoms"
24103,C0036572,Seizures,phenotype,C10,   Nervous System Diseases
24104,C0149958,Complex partial seizures,disease,C23,"   Pathological Conditions, Signs and Symptoms"
24105,C0149958,Complex partial seizures,disease,C10,   Nervous System Diseases
24106,C0234533,Generalized seizures,disease,C23,"   Pathological Conditions, Signs and Symptoms"
24107,C0234533,Generalized seizures,disease,C10,   Nervous System Diseases
24108,C0234535,Clonic Seizures,disease,C23,"   Pathological Conditions, Signs and Symptoms"
24109,C0234535,Clonic Seizures,disease,C10,   Nervous System Diseases
24110,C0270824,Visual seizure,disease,C23,"   Pathological Conditions, Signs and Symptoms"
24111,C0270824,Visual seizure,disease,C10,   Nervous System Diseases
24112,C0270844,Tonic Seizures,phenotype,C23,"   Pathological Conditions, Signs and Symptoms"
24113,C0270844,Tonic Seizures,phenotype,C10,   Nervous System Diseases
24114,C0270846,Epileptic drop attack,disease,C23,"   Pathological Conditions, Signs and Symptoms"
24115,C0270846,Epileptic drop attack,disease,C10,   Nervous System Diseases
24116,C0422850,"Seizures, Somatosensory",phenotype,C23,"   Pathological Conditions, Signs and Symptoms"
24117,C0422850,"Seizures, Somatosensory",phenotype,C10,   Nervous System Diseases
24118,C0422852,"Seizures, Auditory",phenotype,C23,"   Pathological Conditions, Signs and Symptoms"
24119,C0422852,"Seizures, Auditory",phenotype,C10,   Nervous System Diseases
24120,C0422853,Olfactory seizure,phenotype,C23,"   Pathological Conditions, Signs and Symptoms"
24121,C0422853,Olfactory seizure,phenotype,C10,   Nervous System Diseases
24122,C0422854,Gustatory seizure,phenotype,C23,"   Pathological Conditions, Signs and Symptoms"
24123,C0422854,Gustatory seizure,phenotype,C10,   Nervous System Diseases
24124,C0422855,Vertiginous seizure,phenotype,C23,"   Pathological Conditions, Signs and Symptoms"
24125,C0422855,Vertiginous seizure,phenotype,C10,   Nervous System Diseases
24126,C0494475,Tonic - clonic seizures,disease,C23,"   Pathological Conditions, Signs and Symptoms"
24127,C0494475,Tonic - clonic seizures,disease,C10,   Nervous System Diseases
24128,C0751056,Non-epileptic convulsion,phenotype,C23,"   Pathological Conditions, Signs and Symptoms"
24129,C0751056,Non-epileptic convulsion,phenotype,C10,   Nervous System Diseases
24130,C0751110,Single Seizure,disease,C23,"   Pathological Conditions, Signs and Symptoms"
24131,C0751110,Single Seizure,disease,C10,   Nervous System Diseases
24132,C0751123,Atonic Absence Seizures,phenotype,C23,"   Pathological Conditions, Signs and Symptoms"
24133,C0751123,Atonic Absence Seizures,phenotype,C10,   Nervous System Diseases
24134,C0751494,Convulsive Seizures,phenotype,C23,"   Pathological Conditions, Signs and Symptoms"
24135,C0751494,Convulsive Seizures,phenotype,C10,   Nervous System Diseases
24136,C0751495,"Seizures, Focal",phenotype,C23,"   Pathological Conditions, Signs and Symptoms"
24137,C0751495,"Seizures, Focal",phenotype,C10,   Nervous System Diseases
24138,C0751496,"Seizures, Sensory",phenotype,C23,"   Pathological Conditions, Signs and Symptoms"
24139,C0751496,"Seizures, Sensory",phenotype,C10,   Nervous System Diseases
24140,C3495874,Nonepileptic Seizures,phenotype,C23,"   Pathological Conditions, Signs and Symptoms"
24141,C3495874,Nonepileptic Seizures,phenotype,C10,   Nervous System Diseases
24142,C4048158,Convulsions,phenotype,C23,"   Pathological Conditions, Signs and Symptoms"
24143,C4048158,Convulsions,phenotype,C10,   Nervous System Diseases
24144,C4316903,Absence Seizures,phenotype,C23,"   Pathological Conditions, Signs and Symptoms"
24145,C4316903,Absence Seizures,phenotype,C10,   Nervous System Diseases
24146,C4317109,Epileptic Seizures,phenotype,C23,"   Pathological Conditions, Signs and Symptoms"
24147,C4317109,Epileptic Seizures,phenotype,C10,   Nervous System Diseases
24148,C4317123,Myoclonic Seizures,phenotype,C23,"   Pathological Conditions, Signs and Symptoms"
24149,C4317123,Myoclonic Seizures,phenotype,C10,   Nervous System Diseases
24150,C4505436,Generalized Absence Seizures,phenotype,C23,"   Pathological Conditions, Signs and Symptoms"
24151,C4505436,Generalized Absence Seizures,phenotype,C10,   Nervous System Diseases
24156,C0009402,Colorectal Carcinoma,disease,C06,   Digestive System Diseases
24157,C0009402,Colorectal Carcinoma,disease,C04,   Neoplasms
24158,C0009404,Colorectal Neoplasms,group,C06,   Digestive System Diseases
24159,C0009404,Colorectal Neoplasms,group,C04,   Neoplasms
24166,C0020538,Hypertensive disease,group,C14,   Cardiovascular Diseases
24167,C0237873,Physiological Sexual Disorders,phenotype,C13,   Female Urogenital Diseases and Pregnancy Complications
24168,C0237873,Physiological Sexual Disorders,phenotype,C12,   Male Urogenital Diseases
24171,C0028754,Obesity,disease,C23,"   Pathological Conditions, Signs and Symptoms"
24172,C0028754,Obesity,disease,C18,   Nutritional and Metabolic Diseases
24175,C0003873,Rheumatoid Arthritis,disease,C17,   Skin and Connective Tissue Diseases
24176,C0003873,Rheumatoid Arthritis,disease,C05,   Musculoskeletal Diseases
24177,C0003873,Rheumatoid Arthritis,disease,C20,   Immune System Diseases
24178,C0011881,Diabetic Nephropathy,disease,C13,   Female Urogenital Diseases and Pregnancy Complications
24179,C0011881,Diabetic Nephropathy,disease,C12,   Male Urogenital Diseases
24180,C0011881,Diabetic Nephropathy,disease,C19,   Endocrine System Diseases
24181,C0017667,Nodular glomerulosclerosis,disease,C13,   Female Urogenital Diseases and Pregnancy Complications
24182,C0017667,Nodular glomerulosclerosis,disease,C12,   Male Urogenital Diseases
24183,C0017667,Nodular glomerulosclerosis,disease,C19,   Endocrine System Diseases
24184,C0022661,"Kidney Failure, Chronic",disease,C13,   Female Urogenital Diseases and Pregnancy Complications
24185,C0022661,"Kidney Failure, Chronic",disease,C12,   Male Urogenital Diseases
24186,C0376634,Craniofacial Abnormalities,group,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
24187,C0376634,Craniofacial Abnormalities,group,C05,   Musculoskeletal Diseases
24188,C0020488,Hypernatremia,phenotype,C18,   Nutritional and Metabolic Diseases
24190,C0020621,Hypokalemia,phenotype,C18,   Nutritional and Metabolic Diseases
24191,C0033687,Proteinuria,phenotype,C23,"   Pathological Conditions, Signs and Symptoms"
24192,C0033687,Proteinuria,phenotype,C13,   Female Urogenital Diseases and Pregnancy Complications
24193,C0033687,Proteinuria,phenotype,C12,   Male Urogenital Diseases
24194,C0038454,Cerebrovascular accident,group,C10,   Nervous System Diseases
24195,C0038454,Cerebrovascular accident,group,C14,   Cardiovascular Diseases
24196,C0751956,Acute Cerebrovascular Accidents,disease,C10,   Nervous System Diseases
24197,C0751956,Acute Cerebrovascular Accidents,disease,C14,   Cardiovascular Diseases
24200,C0005138,Berylliosis,disease,C08,   Respiratory Tract Diseases
24201,C0005138,Berylliosis,disease,C24,   Occupational Diseases
24202,C2350873,Beryllium Disease,disease,C08,   Respiratory Tract Diseases
24203,C2350873,Beryllium Disease,disease,C24,   Occupational Diseases
24204,C0013949,Embryopathies,disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
24205,C0013949,Embryopathies,disease,C13,   Female Urogenital Diseases and Pregnancy Complications
24206,C0015929,Fetal Diseases,group,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
24207,C0015929,Fetal Diseases,group,C13,   Female Urogenital Diseases and Pregnancy Complications
24208,C0037268,Skin Abnormalities,group,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
24209,C0037268,Skin Abnormalities,group,C17,   Skin and Connective Tissue Diseases
24210,C0206762,"Limb Deformities, Congenital",group,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
24211,C0206762,"Limb Deformities, Congenital",group,C05,   Musculoskeletal Diseases
24220,C0019693,HIV Infections,group,C01,   Infections
24221,C0019693,HIV Infections,group,C20,   Immune System Diseases
24226,C4505456,HIV Coinfection,disease,C01,   Infections
24227,C4505456,HIV Coinfection,disease,C20,   Immune System Diseases
24232,C0017495,Gerstmann-Straussler-Scheinker Disease,disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
24233,C0017495,Gerstmann-Straussler-Scheinker Disease,disease,C01,   Infections
24234,C0017495,Gerstmann-Straussler-Scheinker Disease,disease,C10,   Nervous System Diseases
24235,C0019147,Hepatic Coma,disease,C06,   Digestive System Diseases
24236,C0019147,Hepatic Coma,disease,C18,   Nutritional and Metabolic Diseases
24237,C0019147,Hepatic Coma,disease,C10,   Nervous System Diseases
24244,C0019151,Hepatic Encephalopathy,disease,C06,   Digestive System Diseases
24245,C0019151,Hepatic Encephalopathy,disease,C18,   Nutritional and Metabolic Diseases
24246,C0019151,Hepatic Encephalopathy,disease,C10,   Nervous System Diseases
24253,C0751197,Fulminant Hepatic Failure with Cerebral Edema,disease,C06,   Digestive System Diseases
24254,C0751197,Fulminant Hepatic Failure with Cerebral Edema,disease,C18,   Nutritional and Metabolic Diseases
24255,C0751197,Fulminant Hepatic Failure with Cerebral Edema,disease,C10,   Nervous System Diseases
24262,C0751198,Hepatic Stupor,disease,C06,   Digestive System Diseases
24263,C0751198,Hepatic Stupor,disease,C18,   Nutritional and Metabolic Diseases
24264,C0751198,Hepatic Stupor,disease,C10,   Nervous System Diseases
24271,C0020649,Hypotension,phenotype,C14,   Cardiovascular Diseases
24272,C0023890,Liver Cirrhosis,disease,C23,"   Pathological Conditions, Signs and Symptoms"
24273,C0023890,Liver Cirrhosis,disease,C06,   Digestive System Diseases
24276,C0239946,"Fibrosis, Liver",disease,C23,"   Pathological Conditions, Signs and Symptoms"
24277,C0239946,"Fibrosis, Liver",disease,C06,   Digestive System Diseases
24280,C0023976,Long QT Syndrome,disease,C23,"   Pathological Conditions, Signs and Symptoms"
24281,C0023976,Long QT Syndrome,disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
24282,C0023976,Long QT Syndrome,disease,C14,   Cardiovascular Diseases
24283,C0042510,Ventricular Fibrillation,disease,C23,"   Pathological Conditions, Signs and Symptoms"
24284,C0042510,Ventricular Fibrillation,disease,C14,   Cardiovascular Diseases
24285,C0001430,Adenoma,group,C04,   Neoplasms
24287,C0007102,Malignant tumor of colon,disease,C06,   Digestive System Diseases
24288,C0007102,Malignant tumor of colon,disease,C04,   Neoplasms
24289,C0009375,Colonic Neoplasms,group,C06,   Digestive System Diseases
24290,C0009375,Colonic Neoplasms,group,C04,   Neoplasms
24291,C0021841,Intestinal Neoplasms,group,C06,   Digestive System Diseases
24292,C0021841,Intestinal Neoplasms,group,C04,   Neoplasms
24295,C0205646,"Adenoma, Basal Cell",disease,C04,   Neoplasms
24297,C0205647,Follicular adenoma,disease,C04,   Neoplasms
24299,C0205648,"Adenoma, Microcystic",disease,C04,   Neoplasms
24301,C0205649,"Adenoma, Monomorphic",disease,C04,   Neoplasms
24303,C0205650,Papillary adenoma,disease,C04,   Neoplasms
24305,C0205651,"Adenoma, Trabecular",disease,C04,   Neoplasms
24307,C0346627,Intestinal Cancer,disease,C06,   Digestive System Diseases
24308,C0346627,Intestinal Cancer,disease,C04,   Neoplasms
24315,C0220994,Hyperammonemia,phenotype,C23,"   Pathological Conditions, Signs and Symptoms"
24322,C0024314,Lymphoproliferative Disorders,group,C20,   Immune System Diseases
24323,C0024314,Lymphoproliferative Disorders,group,C15,   Hemic and Lymphatic Diseases
24324,C0549463,X-Linked Lymphoproliferative Disorder,disease,C20,   Immune System Diseases
24325,C0549463,X-Linked Lymphoproliferative Disorder,disease,C15,   Hemic and Lymphatic Diseases
24326,C0003486,Aortic Aneurysm,disease,C14,   Cardiovascular Diseases
24328,C0027626,Neoplasm Invasiveness,phenotype,C23,"   Pathological Conditions, Signs and Symptoms"
24329,C0027626,Neoplasm Invasiveness,phenotype,C04,   Neoplasms
24330,C0259783,mixed gliomas,disease,C04,   Neoplasms
24331,C0555198,Malignant Glioma,disease,C04,   Neoplasms
24332,C0016382,Flushing,phenotype,C23,"   Pathological Conditions, Signs and Symptoms"
24333,C0007370,Catalepsy,disease,C23,"   Pathological Conditions, Signs and Symptoms"
24334,C0007370,Catalepsy,disease,C10,   Nervous System Diseases
24335,C0233612,Waxy flexibility,phenotype,C23,"   Pathological Conditions, Signs and Symptoms"
24336,C0233612,Waxy flexibility,phenotype,C10,   Nervous System Diseases
24339,C0002395,Alzheimer's Disease,disease,C10,   Nervous System Diseases
24340,C0002395,Alzheimer's Disease,disease,F03,   Mental Disorders
24341,C0011265,Presenile dementia,disease,C10,   Nervous System Diseases
24342,C0011265,Presenile dementia,disease,F03,   Mental Disorders
24343,C0022340,Late-Infantile Neuronal Ceroid Lipfuscinosis,disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
24344,C0022340,Late-Infantile Neuronal Ceroid Lipfuscinosis,disease,C18,   Nutritional and Metabolic Diseases
24345,C0022340,Late-Infantile Neuronal Ceroid Lipfuscinosis,disease,C10,   Nervous System Diseases
24346,C0022797,Adult Neuronal Ceroid Lipofuscinosis,disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
24347,C0022797,Adult Neuronal Ceroid Lipofuscinosis,disease,C18,   Nutritional and Metabolic Diseases
24348,C0022797,Adult Neuronal Ceroid Lipofuscinosis,disease,C10,   Nervous System Diseases
24349,C0027877,Neuronal Ceroid-Lipofuscinoses,disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
24350,C0027877,Neuronal Ceroid-Lipofuscinoses,disease,C18,   Nutritional and Metabolic Diseases
24351,C0027877,Neuronal Ceroid-Lipofuscinoses,disease,C10,   Nervous System Diseases
24352,C0268281,Infantile neuronal ceroid lipofuscinosis,disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
24353,C0268281,Infantile neuronal ceroid lipofuscinosis,disease,C18,   Nutritional and Metabolic Diseases
24354,C0268281,Infantile neuronal ceroid lipofuscinosis,disease,C10,   Nervous System Diseases
24355,C0276496,Familial Alzheimer Disease (FAD),disease,C10,   Nervous System Diseases
24356,C0276496,Familial Alzheimer Disease (FAD),disease,F03,   Mental Disorders
24357,C0494463,"Alzheimer Disease, Late Onset",disease,C10,   Nervous System Diseases
24358,C0494463,"Alzheimer Disease, Late Onset",disease,F03,   Mental Disorders
24359,C0546126,Acute Confusional Senile Dementia,disease,C10,   Nervous System Diseases
24360,C0546126,Acute Confusional Senile Dementia,disease,F03,   Mental Disorders
24361,C0750900,"Alzheimer's Disease, Focal Onset",disease,C10,   Nervous System Diseases
24362,C0750900,"Alzheimer's Disease, Focal Onset",disease,F03,   Mental Disorders
24363,C0750901,"Alzheimer Disease, Early Onset",disease,C10,   Nervous System Diseases
24364,C0750901,"Alzheimer Disease, Early Onset",disease,F03,   Mental Disorders
24365,C0751383,Juvenile Neuronal Ceroid Lipofuscinosis,disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
24366,C0751383,Juvenile Neuronal Ceroid Lipofuscinosis,disease,C18,   Nutritional and Metabolic Diseases
24367,C0751383,Juvenile Neuronal Ceroid Lipofuscinosis,disease,C10,   Nervous System Diseases
24368,C1834207,"Ceroid Lipofuscinosis, Neuronal, Parry Type",disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
24369,C1834207,"Ceroid Lipofuscinosis, Neuronal, Parry Type",disease,C18,   Nutritional and Metabolic Diseases
24370,C1834207,"Ceroid Lipofuscinosis, Neuronal, Parry Type",disease,C10,   Nervous System Diseases
24371,C0027412,Opioid-Related Disorders,group,C25,   Chemically-Induced Disorders
24372,C0027412,Opioid-Related Disorders,group,F03,   Mental Disorders
24373,C0029095,Opioid abuse,disease,C25,   Chemically-Induced Disorders
24374,C0029095,Opioid abuse,disease,F03,   Mental Disorders
24375,C0524661,Narcotic Abuse,disease,C25,   Chemically-Induced Disorders
24376,C0524661,Narcotic Abuse,disease,F03,   Mental Disorders
24377,C0524662,Opiate Addiction,disease,C25,   Chemically-Induced Disorders
24378,C0524662,Opiate Addiction,disease,F03,   Mental Disorders
24379,C1527402,Narcotic Dependence,disease,C25,   Chemically-Induced Disorders
24380,C1527402,Narcotic Dependence,disease,F03,   Mental Disorders
24381,C4551628,Opiate Abuse,disease,C25,   Chemically-Induced Disorders
24382,C4551628,Opiate Abuse,disease,F03,   Mental Disorders
24395,C1832200,Peroxisome biogenesis disorders,group,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
24396,C1832200,Peroxisome biogenesis disorders,group,C18,   Nutritional and Metabolic Diseases
24403,C2931832,"Hyperinsulinemic hypoglycemia, familial, 1",disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
24404,C2931832,"Hyperinsulinemic hypoglycemia, familial, 1",disease,C06,   Digestive System Diseases
24405,C2931832,"Hyperinsulinemic hypoglycemia, familial, 1",disease,C18,   Nutritional and Metabolic Diseases
24406,C2931833,"Hyperinsulinemic hypoglycemia, familial, 2",disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
24407,C2931833,"Hyperinsulinemic hypoglycemia, familial, 2",disease,C06,   Digestive System Diseases
24408,C2931833,"Hyperinsulinemic hypoglycemia, familial, 2",disease,C18,   Nutritional and Metabolic Diseases
24409,C3888018,Congenital Hyperinsulinism,disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
24410,C3888018,Congenital Hyperinsulinism,disease,C06,   Digestive System Diseases
24411,C3888018,Congenital Hyperinsulinism,disease,C18,   Nutritional and Metabolic Diseases
24412,C0239981,Hypoalbuminemia,disease,C15,   Hemic and Lymphatic Diseases
24414,C0026998,"Acute Myeloid Leukemia, M1",disease,C04,   Neoplasms
24415,C1879321,Acute Myeloid Leukemia (AML-M2),disease,C04,   Neoplasms
24416,C0007134,Renal Cell Carcinoma,disease,C04,   Neoplasms
24417,C0007134,Renal Cell Carcinoma,disease,C13,   Female Urogenital Diseases and Pregnancy Complications
24418,C0007134,Renal Cell Carcinoma,disease,C12,   Male Urogenital Diseases
24422,C1266042,Chromophobe Renal Cell Carcinoma,disease,C04,   Neoplasms
24423,C1266042,Chromophobe Renal Cell Carcinoma,disease,C13,   Female Urogenital Diseases and Pregnancy Complications
24424,C1266042,Chromophobe Renal Cell Carcinoma,disease,C12,   Male Urogenital Diseases
24425,C1266043,Sarcomatoid Renal Cell Carcinoma,disease,C04,   Neoplasms
24426,C1266043,Sarcomatoid Renal Cell Carcinoma,disease,C13,   Female Urogenital Diseases and Pregnancy Complications
24427,C1266043,Sarcomatoid Renal Cell Carcinoma,disease,C12,   Male Urogenital Diseases
24428,C1266044,Collecting Duct Carcinoma of the Kidney,disease,C04,   Neoplasms
24429,C1266044,Collecting Duct Carcinoma of the Kidney,disease,C13,   Female Urogenital Diseases and Pregnancy Complications
24430,C1266044,Collecting Duct Carcinoma of the Kidney,disease,C12,   Male Urogenital Diseases
24456,C0005941,"Bone Diseases, Developmental",group,C05,   Musculoskeletal Diseases
24457,C0008925,Cleft Palate,disease,C16,"   Congenital, Hereditary, and Neonatal Diseases and Abnormalities"
24458,C0008925,Cleft Palate,disease,C05,   Musculoskeletal Diseases
24459,C0008925,Cleft Palate,disease,C07,   Stomatognathic Diseases
